,household_key,revenue,recency,frequency,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,received_campA_18,redeemed_campA_18,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,MEAT_spend
178,1169,276.97999999999996,0,14,3,1,1,5,Mid-value,1,0,126.27000000000005,19.259999999999998,15.21,30.0,9.969999999999999,42.910000000000004
179,1989,297.09,6,14,3,1,1,5,Mid-value,1,1,157.37999999999997,1.99,24.249999999999996,15.0,53.769999999999996,2.75
180,671,430.44,1,12,3,1,1,5,Mid-value,1,0,274.73999999999995,,12.98,76.25,37.48,19.7
181,1763,375.8300000000001,0,17,3,1,1,5,Mid-value,1,0,165.56000000000003,4.59,42.449999999999996,,77.27,39.93
182,1969,326.9700000000001,1,16,3,1,1,5,Mid-value,1,0,223.23999999999998,2.56,30.21,,8.39,38.65
183,1325,480.65999999999997,3,12,3,1,1,5,Mid-value,1,0,175.3800000000001,46.45,59.13000000000001,,56.43000000000001,18.41
184,329,409.9600000000002,6,11,3,1,1,5,Mid-value,1,0,159.24999999999997,11.57,82.32000000000001,,27.779999999999998,23.940000000000005
185,1395,397.43000000000006,1,11,3,1,1,5,Mid-value,0,0,168.16999999999993,15.189999999999998,48.540000000000006,,31.849999999999998,66.78999999999999
186,2068,293.0800000000002,1,12,3,1,1,5,Mid-value,1,0,131.92999999999998,,43.879999999999995,,65.21,18.04
187,879,348.87000000000006,1,16,3,1,1,5,Mid-value,1,0,160.7,3.63,6.32,84.49000000000001,21.35,49.42
188,198,523.0300000000002,1,16,3,1,1,5,Mid-value,1,0,287.05000000000007,8.99,20.32,,80.30999999999999,68.96000000000001
189,421,384.66000000000025,1,13,3,1,1,5,Mid-value,1,0,161.72,8.350000000000001,13.7,149.0,25.41,3.83
190,2217,303.06,1,19,3,1,1,5,Mid-value,1,0,142.10000000000002,,40.92000000000001,21.05,46.019999999999996,13.809999999999999
191,741,356.2299999999999,3,10,3,1,1,5,Mid-value,0,0,160.89000000000001,6.79,45.86000000000001,36.0,30.31,59.37
192,873,471.4000000000001,0,16,3,1,1,5,Mid-value,1,0,274.7399999999999,,2.49,96.22,4.4,75.09
193,2285,316.82000000000016,0,14,3,1,1,5,Mid-value,0,0,168.1799999999999,3.0,38.42000000000001,31.19,15.040000000000001,
194,1491,524.03,1,21,3,1,1,5,Mid-value,1,0,287.3099999999999,9.629999999999999,69.33000000000001,,80.5,44.78000000000001
195,611,490.50000000000034,0,12,3,1,1,5,Mid-value,0,0,232.27000000000004,17.57,11.780000000000001,,32.74,14.01
196,2245,497.28000000000014,4,19,3,1,1,5,Mid-value,1,0,218.55,3.95,53.32000000000001,99.00999999999999,64.22000000000001,17.0
197,1990,453.2100000000001,5,12,3,1,1,5,Mid-value,1,1,257.50000000000006,3.59,67.85000000000001,89.86000000000001,11.309999999999999,
198,2267,402.13,1,12,3,1,1,5,Mid-value,0,0,213.5199999999999,,12.120000000000001,34.870000000000005,14.1,55.5
199,731,279.69,0,13,3,1,1,5,Mid-value,1,0,101.98,8.99,4.6899999999999995,21.42,96.22,
200,99,538.5600000000001,0,11,3,1,1,5,Mid-value,1,1,376.9899999999999,13.559999999999999,40.74,,39.2,31.34
201,1010,363.0899999999999,2,12,3,1,1,5,Mid-value,1,0,142.85000000000002,24.689999999999998,28.820000000000004,100.44,41.6,8.18
202,1383,325.30000000000007,3,20,3,1,1,5,Mid-value,1,0,209.76,,40.089999999999996,,17.92,5.08
203,1829,535.2300000000001,2,20,3,1,1,5,Mid-value,1,0,241.79000000000002,13.26,61.62000000000001,20.0,70.59000000000002,47.26
204,2475,599.1700000000002,3,12,3,1,1,5,Mid-value,1,1,382.8800000000001,27.509999999999998,49.400000000000006,,41.82,23.200000000000003
205,78,318.59000000000015,1,21,3,1,1,5,Mid-value,1,0,200.35,,14.97,,41.56,
206,612,525.9900000000001,2,21,3,1,1,5,Mid-value,0,0,291.7300000000001,,5.98,90.51,53.05,33.26
207,793,258.96000000000004,1,10,3,1,1,5,Mid-value,1,1,142.92999999999998,,8.760000000000002,,60.49,14.07
208,1279,386.9700000000003,0,16,3,1,1,5,Mid-value,1,0,204.10000000000002,,27.97,,36.76,29.460000000000004
209,878,385.6400000000002,0,10,3,1,1,5,Mid-value,1,0,231.33999999999995,4.02,34.69,,15.930000000000001,47.57000000000001
